feature,importance
seller_account_age_days,0.3491535304898348
seller_item_count,0.2692978180703816
current_price,0.06381240959268603
description_length,0.05950991569527147
original_price,0.05396377566044968
view_count,0.03572459203198383
brand_encoded,0.03503637733158444
favorite_count,0.032886240289317324
image_count,0.02969294163962181
days_listed,0.019560871180780228
seller_rating,0.014820968012803122
age_years,0.009791246221720824
relistings,0.007346367964726656
condition_encoded,0.007051826706446305
platform_encoded,0.004210223896028023
price_drops,0.0038730095354538308
category_encoded,0.003854669986019168
shipping_offered_int,0.0004132156948909819
